yearconfirmed	casenumber	xyearfiled	shop	prepack	preneg	lnfeeexpord	lnassets	lndaysin	lnroles	lnemployees	lnsales	saleall	pweight
2006	05-11341	2005	1	0	0	15.985373	5.7786517	5.5412636	2.3025851	6.828712	19.187683	0	5.151515
2007	02-41729	2002	1	0	0	20.010744	10.102707	7.4115562	3.8918202	9.6636429	21.791075	1	2.5
1998	97-44673	1997	0	0	0	16.161171	6.2383246	5.9427996	2.5649493	7.5229411	20.353796	0	2.5
2007	05-12515	2005	1	0	0	17.183926	4.8845124	6.4861608	2.9444389	8.7640533	20.612572	0	4.5897436
2002	99-11577	1999	0	0	1	14.61775	5.336504	6.8956828	1.9459101	8.1285849	19.632622	0	2.5
1999	98-00197	1998	1	0	0	16.630587	6.3279366	6.4361506	2.3025851	8.5941544	20.516119	0	5.151515
2006	04-19866	2004	0	0	0	17.088032	6.6135974	6.1355648	2.7725887	8.974618	21.14101	0	4.5897436
2003	01-15288	2001	1	0	0	17.587223	8.3428402	6.6025877	2.7080503	9.595603	22.157541	1	2.5
2000	98-12547	1998	1	0	0	16.189541	7.5169773	6.3767271	2.3978953	9.4310808	19.951872	0	4.5897436
1998	95-42777	1995	1	0	0	17.35272	6.7855878	7.1260872	2.3978953	9.6803436	21.373795	0	2.5
2000	99-3399	1999	1	0	0	16.377283	7.1863284	6.0614572	2.3025851	9.6989202	21.048965	0	5.151515
2000	00-00844	2000	1	0	0	14.993018	5.8384795	5.267858	2.1972246	6.7522702	16.380461	0	5.151515
2004	04-16433	2004	1	1	0	13.55759	5.8715854	3.5553482	1.3862944	5.9687076	19.488077	0	2.5
1999	98-22569	1998	0	0	1	15.282095	5.7751722	5.5053315	1.9459101	6.7298241	17.342812	0	4.5897436
2007	05-55927	2005	0	0	0	18.680559	8.0709057	6.6745615	3.2958369	10.081634	22.105476	1	4.5897436
2002	01-24795	2001	0	0	0	17.702705	8.9258528	5.9401712	2.8332133	8.1605186	22.075745	0	4.5897436
2003	02-49672	2002	1	0	1	18.30167	10.864476	5.5834961	3.4339871	9.5680151	22.81613	0	4.5897436
2000	00-12184	2000	0	0	0	15.582136	6.731853	5.3798971	1.9459101	8.1107273	13.815511	0	2.5
2001	00-57812	2000	0	0	0	15.702561	4.7535901	5.3518581	2.1972246	6.8023949	18.210257	0	4.5897436
2004	03-11258	2003	1	0	0	16.198868	6.399056	6.2915692	2.1972246	6.6450911	19.998009	0	4.5897436
2007	05-17923	2005	1	0	0	18.927893	9.9786415	6.3767271	3.3672957	11.144033	23.43145	0	2.5
2001	01-41066	2001	1	0	1	15.026579	5.5258512	5.0875964	2.0794415	8.6125031	20.623446	0	4.5897436
2003	02-43582	2002	0	0	0	16.269922	7.1180973	5.2470241	2.5649493	10.341743	22.085455	0	4.5897436
2004	01-16034	2001	1	0	0	20.491798	10.81577	6.8627577	4.1108737	10.126631	25.336294	1	2.5
1998	98-37	1998	1	1	0	14.800086	5.2933049	3.7841897	1.3862944	8.7483053	20.451458	0	5.151515
1998	97-01500	1997	1	0	0	15.199228	5.220356	5.5134287	2.3978953	6.4409466	18.427656	0	5.151515
2002	02-11732	2002	1	0	0	16.946379	8.1122332	5.1179938	2.3978953	5.8435445	18.198549	0	2.5
2007	05-20011	2005	1	0	0	16.698381	5.9362159	6.2005091	2.7080503	8.2995348	20.01335	1	5.151515
2007	05-12685	2005	1	0	1	16.986786	6.4310508	6.2146082	2.4849067	8.6125031	20.95944	0	5.151515
2003	02-13709	2002	1	0	1	16.157196	6.3297992	5.2040067	2.3978953	7.2276626	19.621805	0	5.151515
2005	05-40129	2005	0	0	0	17.215427	5.981154	5.7462034	2.4849067	8.2857656	19.893152	0	4.5897436
2002	99-04497	1999	1	0	0	17.934305	7.6108527	6.7357802	3.0910425	10.341743	21.498131	0	5.151515
2000	99-21130	1999	0	0	0	16.475979	6.3216672	6.5161929	2.9444389	7.3932629	20.395391	0	4.5897436
2003	02-43558	2002	1	0	0	17.114374	7.572258	5.8833222	2.4849067	8.3893595	20.922575	1	2.5
2002	02-40188	2002	1	0	0	18.975143	10.018511	5.8051348	3.7841897	9.4727049	24.357952	0	2.5
1999	99-10030	1999	0	0	1	15.116727	5.6850243	5.3471074	2.0794415	6.856462	19.084534	0	2.5
1998	98-27912	1998	0	1	0	13.129833	6.5930448	3.7376697	1.0986123	9.6158056	21.541622	0	4.5897436
2000	98-10001	1998	0	0	0	15.815637	5.370173	6.8554087	2.8332133	8.0063677	19.361683	0	4.5897436
2002	02-40667	2002	1	0	1	15.885017	6.311851	5.2522736	2.3025851	8.4015579	20.282461	0	2.5
2003	01-11490	2001	1	0	0	17.872765	7.9379101	6.2595816	2.6390574	9.6158056	21.498592	0	5.151515
1999	98-2692	1998	1	0	1	14.553305	5.2688885	4.6151204	1.9459101	6.6720328	18.182322	0	5.151515
1998	98-40319	1998	0	0	1	14.917085	5.5000329	4.9767337	1.3862944	7.6009026	18.764271	0	2.5
2001	01-00140	2001	1	0	1	16.15234	6.9939332	5.3132062	2.4849067	8.0864105	21.132288	0	5.151515
2003	00-2426	2000	1	0	0	17.254002	6.8633852	6.9763479	2.7080503	8.6305218	22.172066	0	5.151515
2003	00-00389	2000	1	0	0	18.371277	8.1874704	7.0859013	3.2580965	11.200951	21.663	0	5.151515
2005	05-10009	2005	1	1	0	14.606096	5.5090685	3.583519	1.3862944	5.2470241	19.047972	0	5.151515
1999	96-44426	1996	1	0	0	15.926198	5.2637258	6.880384	1.7917595	6.590301	19.607271	0	4.5897436
2001	00-44478	2000	0	0	0	15.671958	5.8021183	5.9242558	2.3025851	8.5171928	19.734404	0	4.5897436
2003	02-02474	2002	1	0	0	18.734781	9.698123	6.1202974	2.9444389	12.437184	24.33494	0	4.5897436
2000	99-57430	1999	0	0	0	14.917814	6.6159315	5.556828	1.9459101	5.5834961	19.518133	0	4.5897436
2000	97-1842	1997	1	0	0	17.127794	7.024827	7.0867381	2.3978953	8.5207863	20.68956	0	5.151515
2001	99-1244	1999	1	0	0	18.094461	8.3187418	6.8221974	2.7080503	9.7231636	20.850985	0	5.151515
2002	02-10288	2002	1	0	1	16.770542	8.4748287	4.1588831	1.6094379	9.047821	21.317034	0	5.151515
2001	00-11446	2000	1	0	1	14.96519	5.3938823	5.7268476	1.3862944	6.9650803	18.875824	0	2.5
2002	01-42530	2001	0	0	0	16.303553	7.0074196	5.8230457	2.3025851	8.4553175	21.427155	0	4.5897436
2003	02-22736	2002	0	0	0	16.969822	8.8571177	6.1268692	2.5649493	7.4570322	19.051952	0	4.5897436
2005	03-46590	2003	1	0	0	19.78286	9.9317837	6.7787848	4.0073333	8.8536654	22.585173	0	4.5897436
1999	97-1409	1997	1	0	0	17.383232	8.2940493	6.6039438	2.9444389	10.969921	22.613361	0	5.151515
2003	02-08699	2002	1	0	0	17.191647	7.7441368	6.3902407	2.6390574	9.0290585	21.636351	1	4.5897436
2007	05-17930	2005	1	0	0	18.685263	9.5716448	6.4150968	3.5553482	10.580048	22.855299	0	2.5
2002	02-41316	2002	0	0	1	16.162271	9.7311678	4.7874918	2.1972246	9.3413687	21.532862	0	2.5
2004	02-13396	2002	1	0	1	17.287252	6.7358809	6.2499752	3.4339871	8.9818077	20.728254	1	5.151515
2004	04-10558	2004	1	0	1	16.692162	6.4774461	5.5872488	2.4849067	7.4977617	19.817492	0	5.151515
2002	02-41400	2002	0	0	1	15.2693	6.5806394	4.9126549	2.0794415	8.909235	20.529133	0	4.5897436
2003	01-30923	2001	0	0	0	19.396769	10.093281	6.8977051	3.7376697	9.819725	22.64814	0	4.5897436
2000	00-03098	2000	1	0	0	16.341597	7.2087483	4.5643482	2.0794415	8.3663702	20.712936	0	5.151515
1998	98-30088	1998	1	0	0	16.05422	4.1728477	5.8289456	3.0910425	6.4068799	19.238092	0	4.5897436
1999	99-2385	1999	1	0	1	16.085392	7.0342813	5.0625949	1.7917595	9.4727049	21.416779	0	5.151515
2002	02-12477	2002	1	0	1	15.648604	6.9104266	4.94876	1.6094379	5.3082676	19.065657	0	2.5
1999	95-43065	1995	0	0	0	15.619413	5.2729998	7.2806973	1.9459101	8.1744213	19.389212	1	2.5
2006	06-10001	2006	1	0	1	16.59757	6.4040294	5.1416636	2.4849067	7.986165	20.793537	0	5.151515
2003	01-10864	2001	1	0	0	17.200241	7.5010819	6.6424866	2.9444389	9.0898666	21.341475	1	5.151515
2000	00-02969	2000	1	0	1	14.751654	6.0063534	4.7791233	1.9459101	7.2723985	18.32086	0	5.151515
2000	99-03938	1999	1	0	0	16.229597	6.6512709	5.0751739	2.4849067	7.9010072	20.721966	0	5.151515
2006	05-60006	2005	0	0	0	18.814917	10.794768	6.0497336	3.1354942	7.8030267	21.631121	1	2.5
1999	98-10107	1998	0	0	1	14.659188	5.5024819	4.6821313	1.0986123	8.2427559	19.799023	0	2.5
2006	06-10977	2006	1	0	1	16.573166	5.9119263	4.89784	2.7080503	7.7927618	20.408506	0	2.5
1999	98-37613	1998	0	0	0	15.740704	7.0668936	5.6489744	2.6390574	6.9167151	19.059082	0	4.5897436
2003	02-10335	2002	1	0	0	16.356636	6.6726174	6.3117347	2.8903718	8.0671492	20.407661	0	4.5897436
2003	02-03631	2002	0	0	1	16.302021	6.6095877	4.3040652	2.0794415	7.7336836	19.974546	0	4.5897436
1998	97-20554	1997	0	0	1	15.258189	5.9651208	6.2105999	2.3025851	7.8038435	18.504459	0	4.5897436
2002	01-40291	2001	1	0	1	17.323372	7.9928985	6.4907236	3.4011974	9.4091911	21.5979	0	2.5
2002	00-56931	2000	1	0	0	18.023939	6.9641356	6.6214056	2.8332133	8.9618788	20.043959	0	4.5897436
2001	01-52629	2001	0	0	0	14.597228	5.4062743	4.9628448	2.5649493	7.5559049	19.466051	0	4.5897436
2002	01-0056	2001	1	0	0	16.962505	7.6496925	6.2595816	2.8332133	9.9509439	21.919912	1	5.151515
2006	02-48191	2002	0	0	0	19.539238	10.035042	7.0370278	3.5553482	11.338573	23.503946	0	4.5897436
2005	05-10104	2005	1	0	0	15.949212	5.79638	5.8051348	2.4849067	8.1533499	20.384789	1	5.151515
1999	98-06583	1998	0	0	1	15.203844	4.3040652	5.5053315	2.1972246	8.4118328	19.228788	0	4.5897436
2003	02-14302	2002	0	0	0	13.17154	3.7543161	5.869297	.69314718	0	18.991661	0	4.5897436
2005	04-13819	2004	0	0	0	17.786505	9.0602522	5.9107966	2.8903718	10.364072	22.393234	0	4.5897436
2003	02-83984	2002	0	0	0	17.87377	8.9627762	5.3890719	2.3978953	10.618885	22.838074	0	4.5897436
2002	02-50215	2002	0	0	1	15.106509	5.945159	4.7957907	2.1972246	7.0335064	18.515991	0	4.5897436
1998	98-101	1998	1	0	0	15.398112	6.3611298	5.7268476	2.3025851	9.441452	21.119192	1	5.151515
2001	00-65214	2000	0	0	0	15.204731	5.394536	6.0112672	1.9459101	8.1406069	19.611736	0	4.5897436
2003	01-41643	2001	0	0	0	17.639891	7.7717857	6.3699012	2.9444389	9.9730139	21.534151	0	2.5
1998	98-02105	1998	1	0	1	14.429231	4.2091603	4.5217886	1.9459101	5.8435445	19.056749	0	5.151515
2005	05-11444	2005	0	0	0	15.898997	6.0085058	4.9126549	2.3025851	7.4036703	19.602407	0	2.5
2002	02-11957	2002	1	0	1	17.2999	8.698185	5.0814042	2.0794415	8.2653933	20.893448	0	2.5
2006	05-11063	2005	1	0	0	18.536678	7.7124438	6.4393506	3.583519	11.396392	23.087229	0	2.5
1999	99-00295	1999	1	0	1	14.582651	5.6308355	5.556828	1.3862944	5.9635792	17.472315	0	5.151515
2003	02-13533	2002	1	0	0	20.245794	11.580585	6.1463294	3.7841897	11.031658	24.283714	0	2.5
2002	02-12947	2002	1	0	1	17.121107	9.0710783	5.0172796	2.1972246	8.8098631	20.953239	0	2.5
